date,sku,opening_stock,received_units,units,closing_stock
2025-10-24,84029E,141,0,21,120
2025-10-25,84029E,120,300,24,396
2025-10-26,84029E,396,0,23,373
2025-10-27,84029E,373,0,20,353
2025-10-28,84029E,353,0,19,334
2025-10-29,84029E,334,0,19,315
2025-10-30,84029E,315,0,22,293
2025-10-31,84029E,293,0,22,271
2025-11-01,84029E,271,0,26,245
2025-11-02,84029E,245,0,25,220
2025-11-03,84029E,220,0,18,202
2025-11-04,84029E,202,0,20,182
2025-11-05,84029E,182,0,20,162
2025-11-06,84029E,162,0,21,141
2025-11-07,84029E,141,0,21,120
2025-11-08,84029E,120,300,25,395
2025-11-09,84029E,395,0,23,372
2025-11-10,84029E,372,0,18,354
2025-11-11,84029E,354,0,20,334
2025-11-12,84029E,334,0,21,313
2025-11-13,84029E,313,0,21,292
2025-11-14,84029E,292,0,23,269
2025-11-15,84029E,269,0,25,244
2025-11-16,84029E,244,0,22,222
2025-11-17,84029E,222,0,20,202
2025-11-18,84029E,202,0,19,183
2025-11-19,84029E,183,0,20,163
2025-11-20,84029E,163,0,21,142
2025-11-21,84029E,142,0,22,120
2025-11-22,84029E,120,297,25,392
2025-11-23,84029E,392,0,25,367
2025-11-24,84029E,367,0,18,349
2025-11-25,84029E,349,0,19,330
2025-11-26,84029E,330,0,19,311
2025-11-27,84029E,311,0,21,290
2025-11-28,84029E,290,0,22,268
2025-11-29,84029E,268,0,25,243
2025-11-30,84029E,243,0,24,219
2025-12-01,84029E,219,0,18,201
2025-12-02,84029E,201,0,20,181
2025-12-03,84029E,181,0,19,162
2025-12-04,84029E,162,0,21,141
2025-12-05,84029E,141,0,21,120
2025-12-06,84029E,120,289,23,386
2025-12-07,84029E,386,0,24,362
2025-12-08,84029E,362,0,17,345
2025-12-09,84029E,345,0,19,326
2025-12-10,84029E,326,0,18,308
2025-12-11,84029E,308,0,21,287
2025-12-12,84029E,287,0,21,266
2025-12-13,84029E,266,0,24,242
2025-12-14,84029E,242,0,22,220
2025-12-15,84029E,220,0,19,201
2025-12-16,84029E,201,0,20,181
2025-12-17,84029E,181,0,19,162
2025-12-18,84029E,162,0,20,142
2025-12-19,84029E,142,0,22,120
2025-12-20,84029E,120,290,25,385
2025-12-21,84029E,385,0,23,362
2025-12-22,84029E,362,0,19,343
2025-12-23,84029E,343,0,18,325
2025-12-24,84029E,325,0,20,305
2025-12-25,84029E,305,0,20,285
2025-12-26,84029E,285,0,21,264
2025-12-27,84029E,264,0,24,240
2025-12-28,84029E,240,0,22,218
2025-12-29,84029E,218,0,19,199
2025-12-30,84029E,199,0,18,181
2025-12-31,84029E,181,0,20,161
2026-01-01,84029E,161,0,21,140
2026-01-02,84029E,140,0,20,120
2026-01-03,84029E,120,285,24,381
2026-01-04,84029E,381,0,22,359
2026-01-05,84029E,359,0,19,340
2026-01-06,84029E,340,0,19,321
2026-01-07,84029E,321,0,18,303
2026-01-08,84029E,303,0,20,283
2026-01-09,84029E,283,0,22,261
2026-01-10,84029E,261,0,24,237
2026-01-11,84029E,237,0,21,216
2026-01-12,84029E,216,0,17,199
2026-01-13,84029E,199,0,18,181
2026-01-14,84029E,181,0,19,162
2026-01-15,84029E,162,0,20,142
2026-01-16,84029E,142,0,22,120
2026-01-17,84029E,120,284,24,380
2026-01-18,84029E,380,0,23,357
2026-01-19,84029E,357,0,19,338
2026-01-20,84029E,338,0,19,319
2026-01-21,84029E,319,0,19,300
2026-01-22,84029E,300,0,19,281
2026-01-23,84029E,281,0,20,261
2026-01-24,84029E,261,0,24,237
2026-01-25,84029E,237,0,23,214
2026-01-26,84029E,214,0,17,197
2026-01-27,84029E,197,0,18,179
2026-01-28,84029E,179,0,19,160
2026-01-29,84029E,160,0,19,141
2026-01-30,84029E,141,0,21,120
2026-01-31,84029E,120,267,23,364
2026-02-01,84029E,364,0,21,343
2026-02-02,84029E,343,0,17,326
2026-02-03,84029E,326,0,19,307
2026-02-04,84029E,307,0,18,289
2026-02-05,84029E,289,0,18,271
2026-02-06,84029E,271,0,19,252
2026-02-07,84029E,252,0,22,230
2026-02-08,84029E,230,0,21,209
2026-02-09,84029E,209,0,16,193
2026-02-10,84029E,193,0,17,176
2026-02-11,84029E,176,0,17,159
2026-02-12,84029E,159,0,18,141
2026-02-13,84029E,141,0,21,120
2026-02-14,84029E,120,265,23,362
2026-02-15,84029E,362,0,22,340
2026-02-16,84029E,340,0,18,322
2026-02-17,84029E,322,0,16,306
2026-02-18,84029E,306,0,18,288
2026-02-19,84029E,288,0,18,270
2026-02-20,84029E,270,0,19,251
2026-02-21,84029E,251,0,23,228
2026-02-22,84029E,228,0,21,207
2026-02-23,84029E,207,0,16,191
2026-02-24,84029E,191,0,16,175
2026-02-25,84029E,175,0,17,158
2026-02-26,84029E,158,0,18,140
2026-02-27,84029E,140,0,20,120
2026-02-28,84029E,120,260,21,359
2026-03-01,84029E,359,0,20,339
2026-03-02,84029E,339,0,16,323
2026-03-03,84029E,323,0,17,306
2026-03-04,84029E,306,0,19,287
2026-03-05,84029E,287,0,18,269
2026-03-06,84029E,269,0,20,249
2026-03-07,84029E,249,0,22,227
2026-03-08,84029E,227,0,20,207
2026-03-09,84029E,207,0,15,192
2026-03-10,84029E,192,0,17,175
2026-03-11,84029E,175,0,19,156
2026-03-12,84029E,156,0,17,139
2026-03-13,84029E,139,0,19,120
2026-03-14,84029E,120,256,23,353
2026-03-15,84029E,353,0,21,332
2026-03-16,84029E,332,0,15,317
2026-03-17,84029E,317,0,16,301
2026-03-18,84029E,301,0,18,283
2026-03-19,84029E,283,0,18,265
2026-03-20,84029E,265,0,19,246
2026-03-21,84029E,246,0,21,225
2026-03-22,84029E,225,0,20,205
2026-03-23,84029E,205,0,15,190
2026-03-24,84029E,190,0,16,174
2026-03-25,84029E,174,0,17,157
2026-03-26,84029E,157,0,18,139
2026-03-27,84029E,139,0,19,120
2026-03-28,84029E,120,249,21,348
2026-03-29,84029E,348,0,20,328
2026-03-30,84029E,328,0,15,313
2026-03-31,84029E,313,0,17,296
2026-04-01,84029E,296,0,17,279
2026-04-02,84029E,279,0,17,262
2026-04-03,84029E,262,0,18,244
2026-04-04,84029E,244,0,21,223
2026-04-05,84029E,223,0,19,204
2026-04-06,84029E,204,0,16,188
2026-04-07,84029E,188,0,17,171
2026-04-08,84029E,171,0,16,155
2026-04-09,84029E,155,0,17,138
2026-04-10,84029E,138,0,18,120
2026-04-11,84029E,120,0,20,100
2026-04-12,84029E,100,256,19,337
2026-04-13,84029E,337,0,15,322
2026-04-14,84029E,322,0,15,307
2026-04-15,84029E,307,0,17,290
2026-04-16,84029E,290,0,16,274
2026-04-17,84029E,274,0,18,256
2026-04-18,84029E,256,0,19,237
2026-04-19,84029E,237,0,18,219
2026-04-20,84029E,219,0,14,205
2026-04-21,84029E,205,0,15,190
2026-04-22,84029E,190,0,16,174
2026-04-23,84029E,174,0,17,157
2026-04-24,84029E,157,0,18,139
2026-04-25,84029E,139,0,19,120
2026-04-26,84029E,120,0,18,102
2026-04-27,84029E,102,255,14,343
2026-04-28,84029E,343,0,15,328
2026-04-29,84029E,328,0,16,312
2026-04-30,84029E,312,0,17,295
2026-05-01,84029E,295,0,17,278
2026-05-02,84029E,278,0,21,257
2026-05-03,84029E,257,0,19,238
2026-05-04,84029E,238,0,14,224
2026-05-05,84029E,224,0,16,208
2026-05-06,84029E,208,0,15,193
2026-05-07,84029E,193,0,17,176
2026-05-08,84029E,176,0,18,158
2026-05-09,84029E,158,0,20,138
2026-05-10,84029E,138,0,18,120
2026-05-11,84029E,120,0,15,105
2026-05-12,84029E,105,243,14,334
2026-05-13,84029E,334,0,15,319
2026-05-14,84029E,319,0,15,304
2026-05-15,84029E,304,0,17,287
2026-05-16,84029E,287,0,20,267
2026-05-17,84029E,267,0,18,249
2026-05-18,84029E,249,0,15,234
2026-05-19,84029E,234,0,15,219
2026-05-20,84029E,219,0,16,203
2026-05-21,84029E,203,0,15,188
2026-05-22,84029E,188,0,18,170
2026-05-23,84029E,170,0,20,150
2026-05-24,84029E,150,0,17,133
2026-05-25,84029E,133,0,13,120
2026-05-26,84029E,120,0,15,105
2026-05-27,84029E,105,240,16,329
2026-05-28,84029E,329,0,15,314
2026-05-29,84029E,314,0,18,296
2026-05-30,84029E,296,0,18,278
2026-05-31,84029E,278,0,18,260
2026-06-01,84029E,260,0,15,245
2026-06-02,84029E,245,0,13,232
2026-06-03,84029E,232,0,16,216
2026-06-04,84029E,216,0,16,200
2026-06-05,84029E,200,0,17,183
2026-06-06,84029E,183,0,18,165
2026-06-07,84029E,165,0,17,148
2026-06-08,84029E,148,0,14,134
2026-06-09,84029E,134,0,14,120
2026-06-10,84029E,120,0,16,104
2026-06-11,84029E,104,242,16,330
2026-06-12,84029E,330,0,18,312
2026-06-13,84029E,312,0,19,293
2026-06-14,84029E,293,0,18,275
2026-06-15,84029E,275,0,14,261
2026-06-16,84029E,261,0,14,247
2026-06-17,84029E,247,0,15,232
2026-06-18,84029E,232,0,16,216
2026-06-19,84029E,216,0,16,200
2026-06-20,84029E,200,0,19,181
2026-06-21,84029E,181,0,17,164
2026-06-22,84029E,164,0,15,149
2026-06-23,84029E,149,0,15,134
2026-06-24,84029E,134,0,14,120
2026-06-25,84029E,120,0,16,104
2026-06-26,84029E,104,235,17,322
2026-06-27,84029E,322,0,18,304
2026-06-28,84029E,304,0,16,288
2026-06-29,84029E,288,0,14,274
2026-06-30,84029E,274,0,14,260
2026-07-01,84029E,260,0,14,246
2026-07-02,84029E,246,0,15,231
2026-07-03,84029E,231,0,17,214
2026-07-04,84029E,214,0,18,196
2026-07-05,84029E,196,0,18,178
2026-07-06,84029E,178,0,13,165
2026-07-07,84029E,165,0,14,151
2026-07-08,84029E,151,0,15,136
2026-07-09,84029E,136,0,16,120
2026-07-10,84029E,120,0,18,102
2026-07-11,84029E,102,241,19,324
2026-07-12,84029E,324,0,17,307
2026-07-13,84029E,307,0,15,292
2026-07-14,84029E,292,0,15,277
2026-07-15,84029E,277,0,15,262
2026-07-16,84029E,262,0,15,247
2026-07-17,84029E,247,0,17,230
2026-07-18,84029E,230,0,19,211
2026-07-19,84029E,211,0,16,195
2026-07-20,84029E,195,0,14,181
2026-07-21,84029E,181,0,15,166
2026-07-22,84029E,166,0,14,152
2026-07-23,84029E,152,0,16,136
2026-07-24,84029E,136,0,16,120
2026-07-25,84029E,120,0,17,103
2026-07-26,84029E,103,241,18,326
2026-07-27,84029E,326,0,13,313
2026-07-28,84029E,313,0,14,299
2026-07-29,84029E,299,0,14,285
2026-07-30,84029E,285,0,15,270
2026-07-31,84029E,270,0,17,253
2026-08-01,84029E,253,0,19,234
2026-08-02,84029E,234,0,16,218
2026-08-03,84029E,218,0,15,203
2026-08-04,84029E,203,0,16,187
2026-08-05,84029E,187,0,15,172
2026-08-06,84029E,172,0,16,156
2026-08-07,84029E,156,0,17,139
2026-08-08,84029E,139,0,19,120
2026-08-09,84029E,120,0,17,103
2026-08-10,84029E,103,235,14,324
2026-08-11,84029E,324,0,13,311
2026-08-12,84029E,311,0,14,297
2026-08-13,84029E,297,0,16,281
2026-08-14,84029E,281,0,16,265
2026-08-15,84029E,265,0,19,246
2026-08-16,84029E,246,0,18,228
2026-08-17,84029E,228,0,13,215
2026-08-18,84029E,215,0,14,201
2026-08-19,84029E,201,0,14,187
2026-08-20,84029E,187,0,14,173
2026-08-21,84029E,173,0,17,156
2026-08-22,84029E,156,0,18,138
2026-08-23,84029E,138,0,18,120
2026-08-24,84029E,120,1355,13,1462
2026-08-25,84029E,1462,0,15,1447
2026-08-26,84029E,1447,0,16,1431
2026-08-27,84029E,1431,0,17,1414
2026-08-28,84029E,1414,0,17,1397
2026-08-29,84029E,1397,0,18,1379
2026-08-30,84029E,1379,0,18,1361
2026-08-31,84029E,1361,0,14,1347
2026-09-01,84029E,1347,0,15,1332
2026-09-02,84029E,1332,0,15,1317
2026-09-03,84029E,1317,0,16,1301
2026-09-04,84029E,1301,0,18,1283
2026-09-05,84029E,1283,0,19,1264
2026-09-06,84029E,1264,0,18,1246
2026-09-07,84029E,1246,0,14,1232
2026-09-08,84029E,1232,0,14,1218
2026-09-09,84029E,1218,0,16,1202
2026-09-10,84029E,1202,0,15,1187
2026-09-11,84029E,1187,0,17,1170
2026-09-12,84029E,1170,0,18,1152
2026-09-13,84029E,1152,0,18,1134
2024-09-14,22752,708,0,29,679
2024-09-15,22752,679,0,26,653
2024-09-16,22752,653,0,21,632
2024-09-17,22752,632,0,22,610
2024-09-18,22752,610,0,23,587
2024-09-19,22752,587,0,25,562
2024-09-20,22752,562,0,26,536
2024-09-21,22752,536,0,30,506
2024-09-22,22752,506,0,28,478
2024-09-23,22752,478,0,22,456
2024-09-24,22752,456,0,22,434
2024-09-25,22752,434,0,24,410
2024-09-26,22752,410,0,24,386
2024-09-27,22752,386,0,25,361
2024-09-28,22752,361,0,28,333
2024-09-29,22752,333,0,29,304
2024-09-30,22752,304,0,23,281
2024-10-01,22752,281,0,23,258
2024-10-02,22752,258,0,24,234
2024-10-03,22752,234,0,24,210
2024-10-04,22752,210,0,26,184
2024-10-05,22752,184,0,29,155
2024-10-06,22752,155,0,27,128
2024-10-07,22752,128,368,22,474
2024-10-08,22752,474,0,22,452
2024-10-09,22752,452,0,25,427
2024-10-10,22752,427,0,25,402
2024-10-11,22752,402,0,26,376
2024-10-12,22752,376,0,30,346
2024-10-13,22752,346,0,27,319
2024-10-14,22752,319,0,24,295
2024-10-15,22752,295,0,22,273
2024-10-16,22752,273,0,25,248
2024-10-17,22752,248,0,25,223
2024-10-18,22752,223,0,27,196
2024-10-19,22752,196,0,29,167
2024-10-20,22752,167,0,29,138
2024-10-21,22752,138,0,23,115
2024-10-22,22752,115,383,22,476
2024-10-23,22752,476,0,24,452
2024-10-24,22752,452,0,26,426
2024-10-25,22752,426,0,26,400
2024-10-26,22752,400,0,31,369
2024-10-27,22752,369,0,27,342
2024-10-28,22752,342,0,22,320
2024-10-29,22752,320,0,23,297
2024-10-30,22752,297,0,24,273
2024-10-31,22752,273,0,25,248
2024-11-01,22752,248,0,28,220
2024-11-02,22752,220,0,30,190
2024-11-03,22752,190,0,29,161
2024-11-04,22752,161,0,23,138
2024-11-05,22752,138,0,23,115
2024-11-06,22752,115,384,23,476
2024-11-07,22752,476,0,24,452
2024-11-08,22752,452,0,26,426
2024-11-09,22752,426,0,31,395
2024-11-10,22752,395,0,30,365
2024-11-11,22752,365,0,23,342
2024-11-12,22752,342,0,23,319
2024-11-13,22752,319,0,23,296
2024-11-14,22752,296,0,26,270
2024-11-15,22752,270,0,27,243
2024-11-16,22752,243,0,29,214
2024-11-17,22752,214,0,30,184
2024-11-18,22752,184,0,24,160
2024-11-19,22752,160,0,22,138
2024-11-20,22752,138,367,24,481
2024-11-21,22752,481,0,26,455
2024-11-22,22752,455,0,28,427
2024-11-23,22752,427,0,31,396
2024-11-24,22752,396,0,29,367
2024-11-25,22752,367,0,22,345
2024-11-26,22752,345,0,23,322
2024-11-27,22752,322,0,24,298
2024-11-28,22752,298,0,24,274
2024-11-29,22752,274,0,27,247
2024-11-30,22752,247,0,31,216
2024-12-01,22752,216,0,30,186
2024-12-02,22752,186,0,24,162
2024-12-03,22752,162,0,24,138
2024-12-04,22752,138,0,23,115
2024-12-05,22752,115,395,25,485
2024-12-06,22752,485,0,27,458
2024-12-07,22752,458,0,31,427
2024-12-08,22752,427,0,29,398
2024-12-09,22752,398,0,24,374
2024-12-10,22752,374,0,25,349
2024-12-11,22752,349,0,25,324
2024-12-12,22752,324,0,26,298
2024-12-13,22752,298,0,28,270
2024-12-14,22752,270,0,31,239
2024-12-15,22752,239,0,29,210
2024-12-16,22752,210,0,22,188
2024-12-17,22752,188,0,25,163
2024-12-18,22752,163,0,25,138
2024-12-19,22752,138,361,26,473
2024-12-20,22752,473,0,27,446
2024-12-21,22752,446,0,30,416
2024-12-22,22752,416,0,28,388
2024-12-23,22752,388,0,23,365
2024-12-24,22752,365,0,23,342
2024-12-25,22752,342,0,24,318
2024-12-26,22752,318,0,25,293
2024-12-27,22752,293,0,26,267
2024-12-28,22752,267,0,30,237
2024-12-29,22752,237,0,28,209
2024-12-30,22752,209,0,24,185
2024-12-31,22752,185,0,23,162
2025-01-01,22752,162,0,24,138
2025-01-02,22752,138,365,25,478
2025-01-03,22752,478,0,26,452
2025-01-04,22752,452,0,31,421
2025-01-05,22752,421,0,28,393
2025-01-06,22752,393,0,23,370
2025-01-07,22752,370,0,24,346
2025-01-08,22752,346,0,24,322
2025-01-09,22752,322,0,25,297
2025-01-10,22752,297,0,27,270
2025-01-11,22752,270,0,30,240
2025-01-12,22752,240,0,30,210
2025-01-13,22752,210,0,23,187
2025-01-14,22752,187,0,24,163
2025-01-15,22752,163,0,25,138
2025-01-16,22752,138,365,24,479
2025-01-17,22752,479,0,27,452
2025-01-18,22752,452,0,31,421
2025-01-19,22752,421,0,30,391
2025-01-20,22752,391,0,24,367
2025-01-21,22752,367,0,22,345
2025-01-22,22752,345,0,24,321
2025-01-23,22752,321,0,24,297
2025-01-24,22752,297,0,26,271
2025-01-25,22752,271,0,31,240
2025-01-26,22752,240,0,29,211
2025-01-27,22752,211,0,24,187
2025-01-28,22752,187,0,24,163
2025-01-29,22752,163,0,25,138
2025-01-30,22752,138,356,24,470
2025-01-31,22752,470,0,27,443
2025-02-01,22752,443,0,30,413
2025-02-02,22752,413,0,28,385
2025-02-03,22752,385,0,23,362
2025-02-04,22752,362,0,22,340
2025-02-05,22752,340,0,25,315
2025-02-06,22752,315,0,24,291
2025-02-07,22752,291,0,27,264
2025-02-08,22752,264,0,30,234
2025-02-09,22752,234,0,27,207
2025-02-10,22752,207,0,23,184
2025-02-11,22752,184,0,22,162
2025-02-12,22752,162,0,24,138
2025-02-13,22752,138,348,25,461
2025-02-14,22752,461,0,26,435
2025-02-15,22752,435,0,29,406
2025-02-16,22752,406,0,27,379
2025-02-17,22752,379,0,21,358
2025-02-18,22752,358,0,22,336
2025-02-19,22752,336,0,23,313
2025-02-20,22752,313,0,24,289
2025-02-21,22752,289,0,25,264
2025-02-22,22752,264,0,28,236
2025-02-23,22752,236,0,29,207
2025-02-24,22752,207,0,21,186
2025-02-25,22752,186,0,24,162
2025-02-26,22752,162,0,24,138
2025-02-27,22752,138,346,25,459
2025-02-28,22752,459,0,25,434
2025-03-01,22752,434,0,28,406
2025-03-02,22752,406,0,27,379
2025-03-03,22752,379,0,21,358
2025-03-04,22752,358,0,23,335
2025-03-05,22752,335,0,23,312
2025-03-06,22752,312,0,24,288
2025-03-07,22752,288,0,27,261
2025-03-08,22752,261,0,29,232
2025-03-09,22752,232,0,28,204
2025-03-10,22752,204,0,21,183
2025-03-11,22752,183,0,21,162
2025-03-12,22752,162,0,24,138
2025-03-13,22752,138,0,23,115
2025-03-14,22752,115,366,27,454
2025-03-15,22752,454,0,28,426
2025-03-16,22752,426,0,27,399
2025-03-17,22752,399,0,21,378
2025-03-18,22752,378,0,22,356
2025-03-19,22752,356,0,24,332
2025-03-20,22752,332,0,23,309
2025-03-21,22752,309,0,25,284
2025-03-22,22752,284,0,29,255
2025-03-23,22752,255,0,27,228
2025-03-24,22752,228,0,22,206
2025-03-25,22752,206,0,22,184
2025-03-26,22752,184,0,23,161
2025-03-27,22752,161,0,23,138
2025-03-28,22752,138,339,25,452
2025-03-29,22752,452,0,29,423
2025-03-30,22752,423,0,27,396
2025-03-31,22752,396,0,22,374
2025-04-01,22752,374,0,23,351
2025-04-02,22752,351,0,22,329
2025-04-03,22752,329,0,24,305
2025-04-04,22752,305,0,24,281
2025-04-05,22752,281,0,29,252
2025-04-06,22752,252,0,27,225
2025-04-07,22752,225,0,20,205
2025-04-08,22752,205,0,22,183
2025-04-09,22752,183,0,23,160
2025-04-10,22752,160,0,22,138
2025-04-11,22752,138,331,26,443
2025-04-12,22752,443,0,29,414
2025-04-13,22752,414,0,27,387
2025-04-14,22752,387,0,21,366
2025-04-15,22752,366,0,21,345
2025-04-16,22752,345,0,21,324
2025-04-17,22752,324,0,22,302
2025-04-18,22752,302,0,24,278
2025-04-19,22752,278,0,28,250
2025-04-20,22752,250,0,25,225
2025-04-21,22752,225,0,22,203
2025-04-22,22752,203,0,21,182
2025-04-23,22752,182,0,22,160
2025-04-24,22752,160,0,22,138
2025-04-25,22752,138,0,23,115
2025-04-26,22752,115,355,28,442
2025-04-27,22752,442,0,26,416
2025-04-28,22752,416,0,21,395
2025-04-29,22752,395,0,21,374
2025-04-30,22752,374,0,23,351
2025-05-01,22752,351,0,23,328
2025-05-02,22752,328,0,25,303
2025-05-03,22752,303,0,26,277
2025-05-04,22752,277,0,27,250
2025-05-05,22752,250,0,22,228
2025-05-06,22752,228,0,21,207
2025-05-07,22752,207,0,22,185
2025-05-08,22752,185,0,22,163
2025-05-09,22752,163,0,25,138
2025-05-10,22752,138,319,26,431
2025-05-11,22752,431,0,25,406
2025-05-12,22752,406,0,21,385
2025-05-13,22752,385,0,20,365
2025-05-14,22752,365,0,21,344
2025-05-15,22752,344,0,23,321
2025-05-16,22752,321,0,25,296
2025-05-17,22752,296,0,27,269
2025-05-18,22752,269,0,25,244
2025-05-19,22752,244,0,21,223
2025-05-20,22752,223,0,21,202
2025-05-21,22752,202,0,20,182
2025-05-22,22752,182,0,21,161
2025-05-23,22752,161,0,23,138
2025-05-24,22752,138,317,28,427
2025-05-25,22752,427,0,24,403
2025-05-26,22752,403,0,21,382
2025-05-27,22752,382,0,20,362
2025-05-28,22752,362,0,22,340
2025-05-29,22752,340,0,21,319
2025-05-30,22752,319,0,24,295
2025-05-31,22752,295,0,27,268
2025-06-01,22752,268,0,25,243
2025-06-02,22752,243,0,19,224
2025-06-03,22752,224,0,20,204
2025-06-04,22752,204,0,20,184
2025-06-05,22752,184,0,22,162
2025-06-06,22752,162,0,24,138
2025-06-07,22752,138,318,26,430
2025-06-08,22752,430,0,25,405
2025-06-09,22752,405,0,19,386
2025-06-10,22752,386,0,20,366
2025-06-11,22752,366,0,23,343
2025-06-12,22752,343,0,21,322
2025-06-13,22752,322,0,24,298
2025-06-14,22752,298,0,27,271
2025-06-15,22752,271,0,25,246
2025-06-16,22752,246,0,20,226
2025-06-17,22752,226,0,21,205
2025-06-18,22752,205,0,21,184
2025-06-19,22752,184,0,22,162
2025-06-20,22752,162,0,24,138
2025-06-21,22752,138,322,27,433
2025-06-22,22752,433,0,26,407
2025-06-23,22752,407,0,21,386
2025-06-24,22752,386,0,21,365
2025-06-25,22752,365,0,23,342
2025-06-26,22752,342,0,22,320
2025-06-27,22752,320,0,23,297
2025-06-28,22752,297,0,27,270
2025-06-29,22752,270,0,25,245
2025-06-30,22752,245,0,19,226
2025-07-01,22752,226,0,21,205
2025-07-02,22752,205,0,21,184
2025-07-03,22752,184,0,21,163
2025-07-04,22752,163,0,25,138
2025-07-05,22752,138,324,27,435
2025-07-06,22752,435,0,24,411
2025-07-07,22752,411,0,21,390
2025-07-08,22752,390,0,22,368
2025-07-09,22752,368,0,23,345
2025-07-10,22752,345,0,22,323
2025-07-11,22752,323,0,25,298
2025-07-12,22752,298,0,27,271
2025-07-13,22752,271,0,26,245
2025-07-14,22752,245,0,20,225
2025-07-15,22752,225,0,20,205
2025-07-16,22752,205,0,21,184
2025-07-17,22752,184,0,22,162
2025-07-18,22752,162,0,24,138
2025-07-19,22752,138,325,27,436
2025-07-20,22752,436,0,24,412
2025-07-21,22752,412,0,21,391
2025-07-22,22752,391,0,20,371
2025-07-23,22752,371,0,22,349
2025-07-24,22752,349,0,24,325
2025-07-25,22752,325,0,24,301
2025-07-26,22752,301,0,26,275
2025-07-27,22752,275,0,25,250
2025-07-28,22752,250,0,21,229
2025-07-29,22752,229,0,21,208
2025-07-30,22752,208,0,22,186
2025-07-31,22752,186,0,24,162
2025-08-01,22752,162,0,24,138
2025-08-02,22752,138,330,28,440
2025-08-03,22752,440,0,25,415
2025-08-04,22752,415,0,21,394
2025-08-05,22752,394,0,22,372
2025-08-06,22752,372,0,22,350
2025-08-07,22752,350,0,22,328
2025-08-08,22752,328,0,26,302
2025-08-09,22752,302,0,28,274
2025-08-10,22752,274,0,25,249
2025-08-11,22752,249,0,20,229
2025-08-12,22752,229,0,22,207
2025-08-13,22752,207,0,22,185
2025-08-14,22752,185,0,23,162
2025-08-15,22752,162,0,24,138
2025-08-16,22752,138,332,28,442
2025-08-17,22752,442,0,27,415
2025-08-18,22752,415,0,20,395
2025-08-19,22752,395,0,23,372
2025-08-20,22752,372,0,23,349
2025-08-21,22752,349,0,23,326
2025-08-22,22752,326,0,25,301
2025-08-23,22752,301,0,28,273
2025-08-24,22752,273,0,25,248
2025-08-25,22752,248,0,21,227
2025-08-26,22752,227,0,21,206
2025-08-27,22752,206,0,21,185
2025-08-28,22752,185,0,22,163
2025-08-29,22752,163,0,25,138
2025-08-30,22752,138,338,28,448
2025-08-31,22752,448,0,26,422
2025-09-01,22752,422,0,21,401
2025-09-02,22752,401,0,22,379
2025-09-03,22752,379,0,21,358
2025-09-04,22752,358,0,24,334
2025-09-05,22752,334,0,25,309
2025-09-06,22752,309,0,29,280
2025-09-07,22752,280,0,28,252
2025-09-08,22752,252,0,21,231
2025-09-09,22752,231,0,21,210
2025-09-10,22752,210,0,22,188
2025-09-11,22752,188,0,24,164
2025-09-12,22752,164,0,26,138
2025-09-13,22752,138,349,28,459
2025-09-14,22752,459,0,27,432
2025-09-15,22752,432,0,21,411
2025-09-16,22752,411,0,23,388
2025-09-17,22752,388,0,24,364
2025-09-18,22752,364,0,24,340
2025-09-19,22752,340,0,25,315
2025-09-20,22752,315,0,30,285
2025-09-21,22752,285,0,29,256
2025-09-22,22752,256,0,22,234
2025-09-23,22752,234,0,23,211
2025-09-24,22752,211,0,23,188
2025-09-25,22752,188,0,24,164
2025-09-26,22752,164,0,26,138
2025-09-27,22752,138,350,30,458
2025-09-28,22752,458,0,26,432
2025-09-29,22752,432,0,21,411
2025-09-30,22752,411,0,23,388
2025-10-01,22752,388,0,23,365
2025-10-02,22752,365,0,24,341
2025-10-03,22752,341,0,26,315
2025-10-04,22752,315,0,28,287
2025-10-05,22752,287,0,29,258
2025-10-06,22752,258,0,22,236
2025-10-07,22752,236,0,23,213
2025-10-08,22752,213,0,23,190
2025-10-09,22752,190,0,25,165
2025-10-10,22752,165,0,27,138
2025-10-11,22752,138,358,29,467
2025-10-12,22752,467,0,27,440
2025-10-13,22752,440,0,22,418
2025-10-14,22752,418,0,24,394
2025-10-15,22752,394,0,23,371
2025-10-16,22752,371,0,25,346
2025-10-17,22752,346,0,27,319
2025-10-18,22752,319,0,29,290
2025-10-19,22752,290,0,28,262
2025-10-20,22752,262,0,23,239
2025-10-21,22752,239,0,25,214
2025-10-22,22752,214,0,25,189
2025-10-23,22752,189,0,25,164
2025-10-24,22752,164,0,26,138
2025-10-25,22752,138,357,31,464
2025-10-26,22752,464,0,28,436
2025-10-27,22752,436,0,23,413
2025-10-28,22752,413,0,24,389
2025-10-29,22752,389,0,23,366
2025-10-30,22752,366,0,25,341
2025-10-31,22752,341,0,26,315
2025-11-01,22752,315,0,29,286
2025-11-02,22752,286,0,28,258
2025-11-03,22752,258,0,23,235
2025-11-04,22752,235,0,22,213
2025-11-05,22752,213,0,23,190
2025-11-06,22752,190,0,25,165
2025-11-07,22752,165,0,27,138
2025-11-08,22752,138,368,31,475
2025-11-09,22752,475,0,29,446
2025-11-10,22752,446,0,22,424
2025-11-11,22752,424,0,24,400
2025-11-12,22752,400,0,25,375
2025-11-13,22752,375,0,24,351
2025-11-14,22752,351,0,27,324
2025-11-15,22752,324,0,30,294
2025-11-16,22752,294,0,29,265
2025-11-17,22752,265,0,24,241
2025-11-18,22752,241,0,24,217
